;Base de données écrit par L.BOUQUILLON le 25.03.97
;Modifié le <???>
;Objet : UAP.
-h--b---a---e-----h1
080,045,5.0,08.00,048
100,050,5.5,08.50,066
130,055,6.0,09.50,092
150,065,7.0,10.25,109
175,070,7.5,10.75,132
200,075,8.0,11.50,154
220,080,8.0,12.50,170
250,085,9.0,13.50,196
270,095,9.0,14.50,212
300,100,9.5,16.00,236
